,Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison,Days to Return,Recidivism Type,New Offense Classification,New Offense Type,New Offense Sub Type,Target Population
3525,2010,2013,7JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,Yes
3526,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Female,Felony - Enhanced,Property,Forgery/Fraud,Yes,440.0,New,Aggravated Misdemeanor,Property,Theft,Yes
3527,2010,2013,,Discharged – End of Sentence,White - Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,547.0,New,C Felony,Property,Burglary,No
3528,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,826.0,New,Aggravated Misdemeanor,Public Order,Weapons,No
3529,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,OWI,No,,No Recidivism,,,,No
3530,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,472.0,Tech,,,,Yes
3531,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
3532,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,No
3533,2010,2013,1JD,Special Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,Yes
3534,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Drug Possession,No,,No Recidivism,,,,Yes
3535,2010,2013,2JD,Special Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes,237.0,Tech,,,,Yes
3536,2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Property,Theft,Yes,217.0,Tech,,,,Yes
3537,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Violent,Robbery,No,,No Recidivism,,,,Yes
3538,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,No
3539,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No,,No Recidivism,,,,Yes
3540,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3541,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3542,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3543,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3544,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3545,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3546,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3547,2010,2013,5JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3548,2010,2013,5JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3549,2010,2013,5JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3550,2010,2013,5JD,Special Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Violent,Sex,No,,No Recidivism,,,,Yes
3551,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,788.0,New,Other Misdemeanor,Public Order,Other Public Order,No
3552,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,D Felony,Violent,Assault,Yes,346.0,New,C Felony,Drug,Trafficking,No
3553,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Kidnap,No,,No Recidivism,,,,No
3554,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Kidnap,No,,No Recidivism,,,,No
3555,2010,2013,2JD,Parole,White - Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes
3556,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
3557,2010,2013,4JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,108.0,New,D Felony,Property,Burglary,Yes
3558,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,494.0,New,C Felony,Violent,Sex,No
3559,2010,2013,3JD,Parole,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,402.0,Tech,,,,Yes
3560,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3561,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3562,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3563,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,752.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
3564,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Other Violent,Yes,672.0,New,D Felony,Violent,Assault,No
3565,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3566,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3567,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3568,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3569,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3570,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3571,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3572,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,B Felony,Violent,Robbery,No,,No Recidivism,,,,No
3573,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,254.0,New,C Felony,Drug,Trafficking,No
3574,2010,2013,5JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,163.0,Tech,,,,Yes
3575,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,693.0,New,Aggravated Misdemeanor,Other,Animals,Yes
3576,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,Yes
3577,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,Yes
3578,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,434.0,New,D Felony,Drug,Drug Possession,No
3579,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,784.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
3580,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Drug,Drug Possession,No,,No Recidivism,,,,No
3581,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Drug,Drug Possession,No,,No Recidivism,,,,No
3582,2010,2013,3JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3583,2010,2013,3JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3584,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Female,Aggravated Misdemeanor,Violent,Assault,Yes,875.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
3585,2010,2013,5JD,Parole,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,Yes
3586,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
3587,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
3588,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
3589,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
3590,2010,2013,1JD,Parole,White - Hispanic,45-54,Male,C Felony,Property,Theft,No,,No Recidivism,,,,Yes
3591,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,325.0,New,D Felony,Drug,Drug Possession,No
3592,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,,No Recidivism,,,,No
3593,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,,No Recidivism,,,,No
3594,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,,No Recidivism,,,,No
3595,2010,2013,2JD,Parole,White - Hispanic,25-34,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes
3596,2010,2013,1JD,Parole,White - Non-Hispanic,Under 25,Female,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
3597,2010,2013,,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,No
3598,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,378.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
3599,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,B Felony,Other,Other Criminal,No,,No Recidivism,,,,No
3600,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Violent,Robbery,No,,No Recidivism,,,,No
3601,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,1080.0,Tech,,,,Yes
3602,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,486.0,New,Aggravated Misdemeanor,Public Order,OWI,No
3603,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes,742.0,Tech,,,,Yes
3604,2010,2013,4JD,Parole,White - Non-Hispanic,45-54,Male,Sexual Predator Community Supervision,Violent,Sex,No,,No Recidivism,,,,Yes
3605,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes
3606,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes
3607,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Other,Other Criminal,No,,No Recidivism,,,,Yes
3608,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3609,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3610,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
3611,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,No
3612,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,No
3613,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,No
3614,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
3615,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
3616,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
3617,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3618,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3619,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3620,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3621,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3622,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3623,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
3624,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,194.0,New,C Felony,Property,Burglary,No
3625,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
3626,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3627,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3628,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3629,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3630,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3631,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3632,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3633,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3634,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3635,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
3636,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3637,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3638,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,C Felony,Violent,Assault,No,,No Recidivism,,,,No
3639,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,910.0,New,C Felony,Drug,Trafficking,Yes
3640,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,614.0,New,D Felony,Drug,Other Drug,Yes
3641,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Theft,No,,No Recidivism,,,,No
3642,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,No
3643,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,Serious Misdemeanor,Violent,Assault,Yes,188.0,Tech,,,,No
3644,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,C Felony,Property,Burglary,Yes,1022.0,New,D Felony,Property,Burglary,No
3645,2010,2013,5JD,Parole,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3646,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
3647,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
3648,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
3649,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
3650,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,380.0,Tech,,,,Yes
3651,2010,2013,5JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3652,2010,2013,5JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3653,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,Yes
3654,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,261.0,New,Aggravated Misdemeanor,Property,Burglary,Yes
3655,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,No
3656,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,No
3657,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,No
3658,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
3659,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Vandalism,No,,No Recidivism,,,,Yes
3660,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,Traffic,Yes,602.0,New,Aggravated Misdemeanor,Property,Theft,No
3661,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No
3662,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No
3663,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No
3664,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,1091.0,New,Aggravated Misdemeanor,Property,Vandalism,No
3665,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,819.0,New,D Felony,Property,Burglary,Yes
3666,2010,2013,3JD,Parole,White - Non-Hispanic,Under 25,Female,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3667,2010,2013,6JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
3668,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3669,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3670,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3671,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3672,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3673,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3674,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,715.0,New,D Felony,Property,Theft,Yes
3675,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,Felony - Enhanced,Drug,Trafficking,Yes,608.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
3676,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,Yes
3677,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,Yes
3678,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,313.0,Tech,,,,Yes
3679,2010,2013,8JD,Parole,White - Non-Hispanic,55 and Older,Male,Felony - Enhanced,Drug,Trafficking,Yes,129.0,New,Serious Misdemeanor,Drug,Drug Possession,Yes
3680,2010,2013,4JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3681,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
3682,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,Yes,595.0,New,D Felony,Drug,Drug Possession,Yes
3683,2010,2013,8JD,Special Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,Yes,274.0,Tech,,,,Yes
3684,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Female,Felony - Enhanced,Violent,Robbery,Yes,425.0,New,D Felony,Property,Forgery/Fraud,No
3685,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes
3686,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,498.0,Tech,,,,Yes
3687,2010,2013,5JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,252.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
3688,2010,2013,6JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3689,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,Yes
3690,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Property,Burglary,No,,No Recidivism,,,,Yes
3691,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,Yes,560.0,New,D Felony,Property,Theft,No
3692,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,679.0,New,D Felony,Public Order,Other Public Order,No
3693,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,695.0,New,Serious Misdemeanor,Public Order,Traffic,Yes
3694,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,209.0,New,Aggravated Misdemeanor,Public Order,Other Public Order,Yes
3695,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhanced,Violent,Assault,No,,No Recidivism,,,,Yes
3696,2010,2013,3JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,Yes,157.0,New,D Felony,Public Order,Traffic,Yes
3697,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Violent,Other Violent,Yes,1083.0,New,D Felony,Drug,Other Drug,No
3698,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,155.0,Tech,,,,Yes
3699,2010,2013,8JD,Special Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes
3700,2010,2013,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,359.0,Tech,,,,Yes
3701,2010,2013,2JD,Parole,Black - Non-Hispanic,Under 25,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
3702,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,453.0,Tech,,,,Yes
3703,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,No
3704,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Other,Animals,No,,No Recidivism,,,,No
3705,2010,2013,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,Yes,115.0,Tech,,,,Yes
3706,2010,2013,3JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Public Order,OWI,No,,No Recidivism,,,,Yes
3707,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Vandalism,No,,No Recidivism,,,,No
3708,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Vandalism,No,,No Recidivism,,,,No
3709,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Vandalism,No,,No Recidivism,,,,No
3710,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3711,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
3712,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
